song_id,split_type,file_path
Classical_Classical_Jules Massenet_Aragonaise,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Jules Massenet_Aragonaise_mixed.flac
Classical_Classical_Ludwig van Beethoven_Ecossaise,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Ludwig van Beethoven_Ecossaise_mixed.flac
Classical_Classical_Alessandro Scarlatti_Minuet,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Alessandro Scarlatti_Minuet_mixed.flac
Classical_Classical_Wolfgang Amadeus Mozart_Piano Quartet KV 478,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Wolfgang Amadeus Mozart_Piano Quartet KV 478_mixed.flac
Classical_Classical_Johannes Brahms_Brahms Horn Trio,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johannes Brahms_Brahms Horn Trio_mixed.flac
Classical_Classical_Giuseppe Verdi_IL Trovatore Duet,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Giuseppe Verdi_IL Trovatore Duet_mixed.flac
Classical_Classical_Jean-Philippe Rameau_Le Tambourin,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Jean-Philippe Rameau_Le Tambourin_mixed.flac
Classical_Classical_Dmitri Shostakovich_Three Fantastic Dances Op 5 (2003 Digital Remaster) Allegretto,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Dmitri Shostakovich_Three Fantastic Dances Op 5 (2003 Digital Remaster) Allegretto_mixed.flac
Classical_Classical_George Frideric Handel_Passepied,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_George Frideric Handel_Passepied_mixed.flac
Classical_Classical_Johann Sebastian Bach_Badinerie,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_Badinerie_mixed.flac
Classical_Classical_Wolfgang Amadeus Mozart_Sonate Opus KV 331,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Wolfgang Amadeus Mozart_Sonate Opus KV 331_mixed.flac
Classical_Classical_Frederic Chopin_Walzer h-moll Op 69 No 2,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Frederic Chopin_Walzer h-moll Op 69 No 2_mixed.flac
"Classical_Classical_Franz Liszt_Dream of Love Op62, No3",train,"C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Franz Liszt_Dream of Love Op62, No3_mixed.flac"
Classical_Classical_Sergei Rachmaninoff_Rhapsody on a Theme of Paganini,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Sergei Rachmaninoff_Rhapsody on a Theme of Paganini_mixed.flac
Classical_Classical_Isaac Albeniz_Rumores de la Caleta,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Isaac Albeniz_Rumores de la Caleta_mixed.flac
Classical_Classical_Toru Takemitsu_The Fury Of Ootemon,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Toru Takemitsu_The Fury Of Ootemon_mixed.flac
Classical_Classical_Johann Sebastian Bach_English Suite II Bourree II,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_English Suite II Bourree II_mixed.flac
"Classical_Classical_Johann Sebastian Bach_Das Wohltemperierte Clavier I, Praeludium I",train,"C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_Das Wohltemperierte Clavier I, Praeludium I_mixed.flac"
Classical_Classical_Johann Sebastian Bach_Die Kunst der Fuge,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_Die Kunst der Fuge_mixed.flac
Classical_Classical_Pietro Mascagni_Intermezzo,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Pietro Mascagni_Intermezzo_mixed.flac
"Classical_Classical_Johann Sebastian Bach_Das Wohltemperierte Clavier I, Fuga XX",train,"C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_Das Wohltemperierte Clavier I, Fuga XX_mixed.flac"
Classical_Classical_Johann Sebastian Bach_Gavottte,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_Gavottte_mixed.flac
Classical_Classical_Johannes Brahms_Lullaby,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johannes Brahms_Lullaby_mixed.flac
Classical_Classical_Robert Schumann_12Le Père Fouettard,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Robert Schumann_12Le Père Fouettard_mixed.flac
Classical_Classical_George Frideric Handel_Aria - Air,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_George Frideric Handel_Aria - Air_mixed.flac
Classical_Classical_Ludwig van Beethoven_Symphony No3 Eroica,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Ludwig van Beethoven_Symphony No3 Eroica_mixed.flac
Classical_Classical_Johann Sebastian Bach_March in E-flat major,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_March in E-flat major_mixed.flac
Classical_Classical_Johann Sebastian Bach_Sinfonia 10,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_Sinfonia 10_mixed.flac
Classical_Classical_Johann Sebastian Bach_Sinfonia 5,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_Sinfonia 5_mixed.flac
Classical_Classical_Johannes Brahms_Hungarian Dance N 7,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johannes Brahms_Hungarian Dance N 7_mixed.flac
Classical_Classical_Leif Ove Andsnes_Lyric Pieces_ Bk V Op 54 V      Scherzo,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Leif Ove Andsnes_Lyric Pieces_ Bk V Op 54 V      Scherzo_mixed.flac
"Classical_Classical_Johann Sebastian Bach_Invention 14, BWV 785",train,"C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_Invention 14, BWV 785_mixed.flac"
Classical_Classical_Richard Strauss_Also sprach Zarathustra,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Richard Strauss_Also sprach Zarathustra_mixed.flac
Classical_Classical_John Philip Sousa_El Capitan,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_John Philip Sousa_El Capitan_mixed.flac
