song_id,split_type,file_path
Soundtracks_Video Game Music_Mario Kart_Mario_Kart_Character_Select,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Soundtracks_Video Game Music_Mario Kart_Mario_Kart_Character_Select_mixed.flac
Unknown_Unknown_Gordon Mills&Les Reed_Its Not Unusual,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Unknown_Unknown_Gordon Mills&Les Reed_Its Not Unusual_mixed.flac
Soundtracks_Video Game Music_Pokemon Trading Card Game_Pokemon_Trading_Card_Game_PauseScreen,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Soundtracks_Video Game Music_Pokemon Trading Card Game_Pokemon_Trading_Card_Game_PauseScreen_mixed.flac
Unknown_Unknown_Charles Chaplin_Limelight,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Unknown_Unknown_Charles Chaplin_Limelight_mixed.flac
Rock_Soft Rock_Bonnie Tyler_Total Eclipse of the Heart,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Rock_Soft Rock_Bonnie Tyler_Total Eclipse of the Heart_mixed.flac
Ambient_Easy Listening_Richard Clayderman_Ballade Pour Adeline,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Ambient_Easy Listening_Richard Clayderman_Ballade Pour Adeline_mixed.flac
Unknown_Unknown_Martha Argerich  Mischa Maisky  Nelson Freire_Le Cygne,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Unknown_Unknown_Martha Argerich  Mischa Maisky  Nelson Freire_Le Cygne_mixed.flac
Rock_Art Rock_Level 42_Lessons In Love,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Rock_Art Rock_Level 42_Lessons In Love_mixed.flac
Pop_Classic Italian Pop_Peppino Di Capri_Nessuno al mondo,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Pop_Classic Italian Pop_Peppino Di Capri_Nessuno al mondo_mixed.flac
Classical_Classical_Alexander Borodin_Polovtsian Dance,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Alexander Borodin_Polovtsian Dance_mixed.flac
Pop_Brill Building Pop_The Shangri-Las_You Cheated_ You Lied,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Pop_Brill Building Pop_The Shangri-Las_You Cheated_ You Lied_mixed.flac
Unknown_Unknown_Hajdu Mihaly_Jatek Szomszedos Hangokon,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Unknown_Unknown_Hajdu Mihaly_Jatek Szomszedos Hangokon_mixed.flac
World_Australian Dance_Jason Donovan_Too Many Broken Hearts,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\World_Australian Dance_Jason Donovan_Too Many Broken Hearts_mixed.flac
Unknown_Unknown_The Bleeding Hearts_Wanted,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Unknown_Unknown_The Bleeding Hearts_Wanted_mixed.flac
Soundtracks_Video Game Music_Pokemon Red Blue Yellow_Pokemon_Red_Blue_Yellow_Intro_by_ALF,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Soundtracks_Video Game Music_Pokemon Red Blue Yellow_Pokemon_Red_Blue_Yellow_Intro_by_ALF_mixed.flac
Classical_Classical_Johann Sebastian Bach_Sarabande,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Johann Sebastian Bach_Sarabande_mixed.flac
Rock_Album Rock_Billy Joel_Allentown,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Rock_Album Rock_Billy Joel_Allentown_mixed.flac
Rock_Country Rock_Johnny Lee_Hey Bartender,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Rock_Country Rock_Johnny Lee_Hey Bartender_mixed.flac
Classical_Classical_Wolfgang Amadeus Mozart_Minuet K94,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Wolfgang Amadeus Mozart_Minuet K94_mixed.flac
Unknown_Unknown_Final Cut_Dancing Queen,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Unknown_Unknown_Final Cut_Dancing Queen_mixed.flac
Unknown_Unknown_Vaya Con DiosAaron Neville_Whats A Woman,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Unknown_Unknown_Vaya Con DiosAaron Neville_Whats A Woman_mixed.flac
Soul_Funk_The Undisputed Truth_Ball Of Confusion (Thats What The World Is Today),train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Soul_Funk_The Undisputed Truth_Ball Of Confusion (Thats What The World Is Today)_mixed.flac
Rock_Piano Rock_Tori Amos_Girl Live LP Version,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Rock_Piano Rock_Tori Amos_Girl Live LP Version_mixed.flac
Soundtracks_Video Game Music_Banjo Tooie_BanjoTooie_Witchyworld,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Soundtracks_Video Game Music_Banjo Tooie_BanjoTooie_Witchyworld_mixed.flac
World_Classic Schlager_Gebrüder Blattschuss_Vollpension,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\World_Classic Schlager_Gebrüder Blattschuss_Vollpension_mixed.flac
Rock_Danspunk_Vikingarna_Natt och dag (Dont Be Cruel),train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Rock_Danspunk_Vikingarna_Natt och dag (Dont Be Cruel)_mixed.flac
Rock_Piano Rock_We The Kings_Rain Falls Down,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Rock_Piano Rock_We The Kings_Rain Falls Down_mixed.flac
Pop_Bubblegum Pop_Edison Lighthouse_Everything I Own,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Pop_Bubblegum Pop_Edison Lighthouse_Everything I Own_mixed.flac
Soundtracks_Video Game Music_StarTropics 2_StarTropics_II_Zodas_Revenge_ZodaBattle,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Soundtracks_Video Game Music_StarTropics 2_StarTropics_II_Zodas_Revenge_ZodaBattle_mixed.flac
World_Panpipe_Panpipes_YesterdayOnceMore,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\World_Panpipe_Panpipes_YesterdayOnceMore_mixed.flac
Rock_Gothic Metal_Theatre Of Tragedy_Dying- I Only Feel Apathy,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Rock_Gothic Metal_Theatre Of Tragedy_Dying- I Only Feel Apathy_mixed.flac
Unknown_Unknown_Fergie  Rita Marley  I-Three_Mary Jane Shoes,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Unknown_Unknown_Fergie  Rita Marley  I-Three_Mary Jane Shoes_mixed.flac
Rock_Art Rock_Elvis Costello  The Attractions_Green Shirt,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Rock_Art Rock_Elvis Costello  The Attractions_Green Shirt_mixed.flac
Rock_Modern Country Rock_Ashley Monroe_He Aint Coming Back,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Rock_Modern Country Rock_Ashley Monroe_He Aint Coming Back_mixed.flac
Classical_Classical_Giuseppe Verdi_La Traviata - N17 Scena e duetto,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Giuseppe Verdi_La Traviata - N17 Scena e duetto_mixed.flac
Pop_Dance Pop_Britney Spears_Im Not A Girl_ Not Yet A Woman,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Pop_Dance Pop_Britney Spears_Im Not A Girl_ Not Yet A Woman_mixed.flac
"Classical_Classical_Wolfgang Amadeus Mozart_In Men,Who Feel Love",train,"C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Classical_Classical_Wolfgang Amadeus Mozart_In Men,Who Feel Love_mixed.flac"
Pop_Classic Portuguese Pop_João Pedro Pais_Mais Que Uma Vez,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Pop_Classic Portuguese Pop_João Pedro Pais_Mais Que Uma Vez_mixed.flac
Unknown_Unknown_Buddha&Joker_All That She Wants,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Unknown_Unknown_Buddha&Joker_All That She Wants_mixed.flac
Unknown_Unknown_Presence_The Last Song,train,C:\Users\tt\Desktop\project\data\flac_output\mix_audio_flac\Unknown_Unknown_Presence_The Last Song_mixed.flac
