canonical_composer,canonical_title,數量
Alban Berg,Sonata Op. 1,3
Alexander Scriabin,"24 Preludes Op. 11, No. 13-24",1
Alexander Scriabin,"3 Etudes, Op. 65",1
Alexander Scriabin,"5 Preludes, Op.15",1
Alexander Scriabin,"Entragete, Op.63",1
Alexander Scriabin,"Etude Op. 2 No.1;  Etudes Op. 8, Nos. 5, 11 and 12",1
Alexander Scriabin,"Etude Op. 42, Nos. 4 & 5",1
Alexander Scriabin,"Etude Op. 8, No. 13",1
Alexander Scriabin,"Etude in D-flat Major, Op. 8 No. 10",1
Alexander Scriabin,Etudes from Op.8,1
Alexander Scriabin,Fantasy Op. 28 in B Minor,1
Alexander Scriabin,"Fantasy in B Minor, Op. 28",1
Alexander Scriabin,"Fantasy, Op. 28",1
Alexander Scriabin,"Fragilite, Op.51",1
Alexander Scriabin,"Prelude and Nocturne for Left Hand, Op. 9",1
Alexander Scriabin,Sonata No. 2,1
Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19",2
Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19 (Complete)",1
Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",3
Alexander Scriabin,"Sonata No. 4 in F-sharp Major ,Op.30",1
Alexander Scriabin,"Sonata No. 5 in F-sharp Minor, Op. 53",1
Alexander Scriabin,"Sonata No. 5, Op. 53",6
Alexander Scriabin,Sonata No. 9,2
Alexander Scriabin,"Sonata No. 9, Op. 68",1
Alexander Scriabin,"Sonata No. 9, Op. 68, ""Black Mass""",1
Alexander Scriabin,"Two Impromptus, Op. 14 (Complete)",1
Alexander Scriabin,"Waltz, Op. 38",1
Antonio Soler,Sonata No. 10 in B Minor,1
Carl Maria von Weber,"Sonata No. 1, 2nd, 3rd and 4th movements",1
Charles Gounod / Franz Liszt,Faust Waltz,1
Claude Debussy,"""Feux d'artifice"" from Book II",1
Claude Debussy,"""Images"", Series I",1
Claude Debussy,"""Les collines d'Anacapri"" from Preludes, Book I",1
Claude Debussy,"""Ondine"" from Book II",1
Claude Debussy,"""Voiles"" from Preludes, Book I",1
Claude Debussy,"Barcarolle, Op. 60",1
Claude Debussy,Bruyeres,1
Claude Debussy,Estampes (Complete),1
Claude Debussy,"Etude ""Pour le arpeges composes""",1
Claude Debussy,"Etude ""Pour les accords""",1
Claude Debussy,"Etude ""Pour les huit doigts""",1
Claude Debussy,"Etude No. 6, Book I, ""Pour les huits doigts""",1
Claude Debussy,"Etude No. 7 ""Study in Chromatic Steps""",1
Claude Debussy,Feux d'artifice,1
Claude Debussy,Four Preludes,1
Claude Debussy,Image (Book II),1
Claude Debussy,"Images Book 1 (Complete), L 110",1
Claude Debussy,Images Book II,1
Claude Debussy,"Images, Book I",1
Claude Debussy,"Images, Book I, ""Reflets dans l'eau""",1
Claude Debussy,"Images, Book II",1
Claude Debussy,"Images, Book II, ""Poissons d'or""",1
Claude Debussy,Jardins sous la pluie from Estampes,1
Claude Debussy,L'Isle Joyeuse,1
Claude Debussy,L'isle joyeuse,4
Claude Debussy,"L'isle joyeuse, L. 106",1
Claude Debussy,Les Collines d'Anacapri from Book I,1
Claude Debussy,Pagodas from Estampes No. 1,1
Claude Debussy,Pour le piano (Complete),1
Claude Debussy,"Prelude No. 24 ""Fireworks""",1
Claude Debussy,"Prelude No. 6, Book I, ""Des pas sur la neige""",1
Claude Debussy,"Prelude No. 7, Book II, La terrasse des audiences du clair de lune",1
Claude Debussy,"Preludes Book II: “Feux d'artifice,” L 123, No. 12",1
Claude Debussy,"Preludes No. 2, 6, 12",2
Claude Debussy,"Preludes, Book II, III - La puerta del vino",1
Claude Debussy,"Preludes, Book II, L 123 (Complete)",1
Claude Debussy,"Preludes, Book II, L 123, IV. «Les fées sont d'exquises danseuses»",1
Claude Debussy,"Preludes, Book II, VII - La terasse des audiences du clair de lune",1
Claude Debussy,PreludesBII/7-12,1
Claude Debussy,SuiteBergamasque,1
Claude Debussy,Three Etudes,1
César Franck,Prel./Chor./Fug.,1
César Franck,"Prelude, Choral et Fugue",2
César Franck,"Prelude, Fugue et Variation, Op. 18, Arrangement Delle Vigne",1
César Franck,"Prélude, chorale, et fugue, M. 21",1
Domenico Scarlatti,Sonata K. 466,1
Domenico Scarlatti,Sonata K. 525,1
Domenico Scarlatti,Sonata K. 54,1
Domenico Scarlatti,"Sonata in A Major, K. 208",1
Domenico Scarlatti,"Sonata in B Minor, K. 197",1
Domenico Scarlatti,"Sonata in B Minor, K. 27",1
Domenico Scarlatti,"Sonata in B Minor, K. 87",2
Domenico Scarlatti,"Sonata in B Minor, L. 33",1
Domenico Scarlatti,"Sonata in C Major, K. 132",1
Domenico Scarlatti,"Sonata in C Major, K. 179",1
Domenico Scarlatti,"Sonata in C Major, K. 513",1
Domenico Scarlatti,"Sonata in C Minor, K. 84",1
Domenico Scarlatti,"Sonata in D Major, K. 118",1
Domenico Scarlatti,"Sonata in D Major, K. 119",1
Domenico Scarlatti,"Sonata in D Major, K. 145",1
Domenico Scarlatti,"Sonata in D Major, K. 430",1
Domenico Scarlatti,"Sonata in D Major, K. 576",1
Domenico Scarlatti,"Sonata in D Major, K. 96 L. 465",1
Domenico Scarlatti,"Sonata in D Major, K96",1
Domenico Scarlatti,"Sonata in D Minor, K. 1",1
Domenico Scarlatti,"Sonata in D Minor, K. 141",2
Domenico Scarlatti,"Sonata in D Minor, K. 213",1
Domenico Scarlatti,"Sonata in D Minor, K. 9",1
Domenico Scarlatti,"Sonata in D Minor, K. 9 L. 413",1
Domenico Scarlatti,"Sonata in F Minor, K. 466",1
Domenico Scarlatti,"Sonata in G Major, K. 146",1
Domenico Scarlatti,"Sonata in G Major, K. 455",1
Domenico Scarlatti,"Sonata, K239",1
Domenico Scarlatti,Two Sonatas,1
Edvard Grieg,"Lyric Piece in A Minor, “Waltz,” Op. 12 No. 2",1
Edvard Grieg,"Lyric Piece in E Minor, “Valse-Impromptu,” Op. 47 No.1",1
Edvard Grieg,"Lyric Piece in E Minor, “Waltz,” Op. 38 No. 7",1
Felix Mendelssohn,Etude in A Minor,1
Felix Mendelssohn,"Fantasy in F-sharp Minor, Op. 28 (Complete)",1
Felix Mendelssohn,"Rondo Capriccioso in E Minor, Op. 14",2
Felix Mendelssohn,Variations Serieuses Op. 54,5
Felix Mendelssohn,"Variations Serieuses, Op. 54",14
Felix Mendelssohn,"Variations Seriouses, Op. 54",1
Felix Mendelssohn,"Variations serieuses, Op. 54",1
Felix Mendelssohn,"Variations sérieuses, Op. 54",3
Felix Mendelssohn / Sergei Rachmaninoff,Scherzo,1
Felix Mendelssohn / Sergei Rachmaninoff,Scherzo from A Midsummer Night's Dream,1
Felix Mendelssohn / Sergei Rachmaninoff,"Scherzo from Mendelssohn's ""Midsummer Night's Dream""",1
Franz Liszt,"""La Campanella""",3
Franz Liszt,Annes de Pelerinage III: Le jeux d'eau a la Villa d'Este,1
Franz Liszt,"Après une lecture de Dante: Fantasia quasi Sonata, S.161, No. 7",1
Franz Liszt,"Aprés une lecture de Dante: Fantasia quasi Sonata, S.161, No. 7",1
Franz Liszt,Au bord d'une source,1
Franz Liszt,"Ballade No. 2 in B Minor, S 171",2
Franz Liszt,"Ballade No. 2 in B Minor, S. 171",2
Franz Liszt,"Concert Etude ""Gnomenreigen""",1
Franz Liszt,"Concert Etude ""La Leggierezza""",1
Franz Liszt,"Concert Etude ""Un Sospiro""",1
Franz Liszt,"Concert Etude ""Waldesrauschen""",2
Franz Liszt,"Concert Etude No. 2 ""Gnomenreigen""",1
Franz Liszt,"Concert Etude No. 2 La Leggierezza, S. 144",1
Franz Liszt,"Concert Etude No. 2, ""Gnomenreigen"", S. 145/2",1
Franz Liszt,"Concert Etude No. 2, ""La Leggierezza"", S. 144/2",2
Franz Liszt,"Concert Etude No. 2, “La leggierezza"", S. 144",1
